挣脱 争脱
也有 爷有
身为 身围
背锅 杯锅
肚子 杜子
褪去 退去
搪塞 棠瑟
重重 众众
翻腾 翻疼
操死 肏死
操你 肏你
操我 肏我
操他 肏他
操她 肏她
操它 肏它
我操 我肏
操逼 肏逼
干死 赣死
干你 赣你
干我 赣我
干他 赣他
干她 赣她
干它 赣它
干的 赣的
这点 这碘
糊弄 护弄
这行 这航
邋遢 拉他
了事 潦事
分子 粪子
扎下 渣吓
刁难 刁男
发小 珐小
供述 共术
惋惜 碗惜
瘫倒 瘫岛
末了 莫釕
CPU 吸批优
病怏怏 病央央
支支吾吾 支支呜呜
干的 赣的
长脚 掌脚
呼呼喝喝 呼呼赫赫
一时兴起 一时性起
混蛋 浑蛋
炸毛 诈毛
节骨眼 揭骨眼
落到 烙到
舒舒服服 舒舒敷敷
应声 硬声
中弹 重蛋
傍上 棒上
T台 踢台
妮可 泥可
这么着 这么招
不还 不环
清点 清碘
懵 掹
森仔 森崽
町 听
扒 巴
血 雪
似 四
揣 搋
覅 要
蹊跷 七敲
探长 探掌
小美 淆每
美佐子 每昨子
曾根 增根
晃彦 谎厌
珍妮 珍泥
安妮 安泥
年少 年绍
压根 讶根
褪色 退色
为爱 喂爱
汗毛 寒毛
高档 高宕
