# 格式：查找字符串|需修改字符串|替换后的字符串
# 例如：操死|操|cao4 意味着在"操死"这个词中，将"操"替换为"cao4"

# 常见脏话处理
操死|操|cao4
操你|操|cao4
操我|操|cao4
操他|操|cao4
操她|操|cao4
操它|操|cao4
我操|操|cao4
操逼|操|cao4
干死|干|gan4
干你|干|gan4
干我|干|gan4
干他|干|gan4
干她|干|gan4
干它|干|gan4
干的|干|gan4

远比|远|yuan2
挣脱|挣|zheng1
也有|也|ye3
身为|为|wei2
背锅|背|bei1
肚子|肚|du4
褪去|褪|tui4
搪塞|搪|tang2
重重|重重|zhong4zhong4
翻腾|腾|teng2
这点|这点|zhe4dian3
糊弄|糊|hu4
这行|行|hang2
邋遢|邋遢|la1ta5
了事|了|liao3
分子|分|fen4
扎下|扎|zha1
刁难|难|nan2
发小|发|fa4
供述|供|gong4
惋惜|惋|wan3
瘫倒|倒|dao3
末了|末|mo4
CPU|CPU|xi1pi1you1
病怏怏|怏|yang1
支支吾吾|支|zhi1
长脚|长|zhang3
呼呼喝喝|喝|he4
一时兴起|兴|xing4
混蛋|混|hun2
炸毛|炸|zha4
节骨眼|节|jie2
落到|落|luo4
舒舒服服|服|fu1
应声|应|ying4
中弹|中|zhong4
傍上|傍|bang4
T台|T|ti1
妮可|妮|ni2
珍妮|妮|ni2
安妮|妮|ni2
不还|还|huan2
清点|点|dian3
森仔|仔|zai3
蹊跷|蹊跷|qi1qiao1
探长|长|zhang3
小美|美|mei3
曾根|曾|zeng1
晃彦|晃|huang3
年少|少|shao4
压根|压|ya4
褪色|褪|tui4
为爱|为|wei4
汗毛|汗|han2
高档|档|dang4
菜得|得|de2
只得|得|dei3
散发|发|fa1
着了魔|着|zhao2
